IP          , ID                                , Location                                                                      , Description                                                                                                                                                                                      , In_AGU , In_AGU_v2, In_Spec, ref_matched              , In_ref , CSBC, CSBC_v2, CSBC_v3, Codex_agent, codex with chunk, structure_AGU, structure_AGU_pair, structure_vs_legacy, In_pair_v2    , In_AGU_v2_detail                                                                                                                                                                                                                          , In_Spec_detail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , In_pair_v2_detail                                                                                                                                                                                                                                                                                                                                                                                , In_ref_raw
AES         , N-002                             , aes_control.sv:470-505; aes_control_fsm.sv:438-441; aes_core.sv:341-360       , iv_sel rail OR-merge + iv_we un-gated during CTR update: wrong IV source written before error                                                                                                    , no spec, weak     , strong , weak@F-0077@F-0165       , yes    , yes , no     , no     , miss       , miss            , miss         , miss              , no_change          , weak@77/241   , "latest AGU/final findings cover IV select one-hot assumptions, raw select use under mr_err, and log_iv_we legality, but do not combine iv_sel rail OR with ungated iv_we during CTR update."                                             , strong: hw/ip/aes/data/aes.hjson:395-396 defines sparse critical MUX controls; aes/doc/theory_of_operation.md:379-382 requires fatal alert/terminal lockup on multi-rail control faults; aes_testplan.hjson:239-242 covers that IV cannot be manipulated while busy. This directly supports rejecting/isolating faulty IV controls.                                                                                                                                                                                                            , "F-0077 rank 77/241: identifies IV mux one-hot/upstream mr_iv_sel gap and unpredictable IV write. F-0093/F-0114 cover iv_we legality and F-0165 covers OR-combined rail mismatch, but no single finding fully states the CTR-update vulnerability."                                                                                                                                              , yes: theory_of_operation.md_011 (multi-rail/control fault response); aes.hjson_024 (critical MUX sparse encodings); aes_testplan.hjson_016 (busy DUT cannot modify IV/config/key).
AES         , extra_secallowforcingmasks_ignored, aes.sv:175-181; aes_core.sv:466-503; aes_prng_masking.sv:70-103               , "SecAllowForcingMasks compile-time disable is ignored at the top level, leaving FORCE_MASKS live"                                                                                                , weak   , strong   , strong , strong@F-0239;weak@F-0025, no     , no  , no     , yes    , extra      , strong          , weak         , weak              , improved           , strong@25/241 , "latest F-0025 and F-0239 identify SecAllowForcingMasks as ignored/hard-coded to 1, enabling FORCE_MASKS in production/test-inaccessible contexts."                                                                                       , "strong: hw/ip/aes/data/aes.hjson:82-86 defines SecAllowForcingMasks as the parameter that forbids/allows forcing masks; aes/doc/registers.md:360-365 says FORCE_MASKS is only applicable if Masking and SecAllowForcingMasks are both 1. If the disable is ignored/hard-coded to allow, the documented control is violated."                                                                                                                                                                                                                  , F-0025 rank 25/241 is exact enough: phase3 confirmed the top-level AES ignores SecAllowForcingMasks and hardwires aes_core to allow FORCE_MASKS at aes.sv:175-181. F-0239 rank 239/241 is an additional exact finding for the same hard-coded SecAllowForcingMasks=1 root.                                                                                                                       , yes: aes.hjson_036 (CTRL_AUX FORCE_MASKS only applicable under SecAllowForcingMasks; shadowed aux control); aes.hjson_016 (masking may be compile-time disabled).
Keymgr      , 026                               , keymgr_ctrl.sv invalid-stage raw key output path                              , Invalid-stage key leak: StCtrlInvalid exposes raw key_state_q without entropy mask                                                                                                               , strong , strong   , strong , strong@F-0020            , no     , yes , no     , yes    , miss       , yes             ,              ,                   ,                    , strong@20/237 , "latest F-0020 exactly identifies StCtrlInvalid + invalid_stage_sel_o driving key_o.key directly from key_state_q[cdi_sel_o], bypassing entropy masking."                                                                                 , "strong: hw/ip/keymgr/doc/theory_of_operation.md:116-118 says Invalid entry wipes internal key, sideload slots and software keys; :127-137 says Invalid is terminal and faults take precedence; keymgr/doc/registers.md:648 says Invalid means sideload keys are no longer valid. This directly forbids exposing raw key material in Invalid."                                                                                                                                                                                                 , F-0020 rank 20/237 was CONFIRMED in dualclaim phase3: StCtrlInvalid plus invalid_stage_sel_o drives key_o.key from key_state_q[cdi_sel_o] and bypasses entropy masking. F-0063 and F-0171 independently confirm the same root. Direct match.                                                                                                                                                     , "yes: theory_of_operation.md_010 (Invalid state wipes keys, fault precedence); keymgr.hjson_047 (WORKING_STATE includes Invalid)."
Keymgr      , 031                               , data-enable FSM sparse encoding redirect path                                 , Data-enable FSM: illegal sparse encoding silently redirected to StCtrlDataDis instead of fsm_err                                                                                                 , strong , strong   , strong , weak@F-0237              , unknown, no  , no     , yes    , miss       , yes             ,              ,                   ,                    , strong@25/237 , latest F-0025 directly targets keymgr_data_en_state fsm_err_o hardwired to 0 so illegal FSM state is not reported; this is the security root of the sparse redirect bug.                                                                  , strong: hw/ip/keymgr/data/keymgr.hjson:397-400 defines DATA.FSM.SPARSE; keymgr_testplan.hjson:202-206 says injected FSM/check faults should fail op_status and enter StInvalid; keymgr/doc/theory_of_operation.md:241-258 says fatal/fault conditions transition to Invalid and reflect status. A silent StCtrlDataDis redirect with fsm_err_o=0 violates this.                                                                                                                                                                                , "F-0025 rank 25/237 was CONFIRMED in dualclaim phase3: keymgr_data_en_state defaults fsm_err_o to 0 and its illegal-state default redirects to StCtrlDataDis without reporting fsm_err_o. F-0060 F-0104 and F-0114 confirm the same data-enable FSM root."                                                                                                                                       , yes: keymgr.hjson_021 (DATA.FSM.SPARSE); keymgr_testplan.hjson_011 (countermeasure fault injection should alert/fail/enter StInvalid).
Keymgr      , N-003                             , keymgr_ctrl.sv:303-326                                                        , key_state_ecc_q updated from encoder but key_state_q stays all-zero: new ECC + stale data -> false ecc_errs                                                                                      , weak   , strong   , strong , weak@F-0218              , no     , yes , yes    , yes    , miss       , yes             ,              ,                   ,                    , strong@11/237 , latest F-0011 identifies key_state_q never being updated from key_state_d while key_state_ecc_words_d follows key_state_d; this is the stale key_state_q root.                                                                            , strong: hw/ip/keymgr/data/keymgr.hjson:465-467 says internal secret key is protected with ECC; keymgr_sec_cm_testplan.hjson:228-231 requires flipping internal key u_ctrl.key_state_q to trigger fatal alert and fault_status.key_ecc. New ECC over stale data causing false ecc_errs is directly in this protection domain.                                                                                                                                                                                                                   , "F-0011 rank 11/237 was CONFIRMED in dualclaim phase3: key_state_q is reset but never updated from key_state_d while ECC is recomputed from key_state_d. F-0138 also confirms the ECC-over-new-data plus stale-key-state root. Exact RTL location match."                                                                                                                                        , "yes: keymgr.hjson_033 (CTRL.KEY.INTEGRITY); keymgr_sec_cm_testplan.hjson_009 (flip key_state_q, expect fatal/key_ecc)."
Keymgr      , extra_flash_seed_validity_shift   , keymgr.sv:445-467                                                             , Flash-seed validity checks are shifted off the stages that consume them                                                                                                                          , weak   , strong   , strong , weak@F-0003              , yes    , no  , no     , yes    , extra      , yes             ,              ,                   ,                    , weak@10/237   , semantic AGU directly notes adv_matrix[OwnerInt] consumes creator_seed under owner_seed_vld and adv_dvalid[Owner] is tied high independent of owner_seed validity; this matches validity checks shifted away from consuming stages.       , "strong: hw/ip/keymgr/data/keymgr_testplan.hjson:153-160 requires invalid flash seeds/OTP/diversification/digest inputs to trigger err, recov_operation_err and INVALID_KMAC_DATA; keymgr/data/keymgr.hjson:1240-1256 DEBUG exposes INVALID_CREATOR_SEED/INVALID_OWNER_SEED. These explicitly require stage-consumed seed validity to be checked/reported."                                                                                                                                                                                    , "F-0010 rank 10/237 remains the highest same-path pairing but was judged FALSE_ALARM in dualclaim phase3. F-0115 rank 115/237 was CONFIRMED and directly identifies owner_seed used in adv_matrix[Owner] while adv_dvalid[Owner] is tied high. F-0004 and F-0005 additionally confirm creator OTP seed valid-bit is ignored."                                                                    , yes: keymgr_testplan.hjson_009 (invalid flash seeds should error and not update output); keymgr.hjson_051 (DEBUG invalid seed bits); keymgr.hjson_042/keymgr.hjson_044 (creator/owner key version/seed related checks).
UART        , 033                               , uart_core.sv:350-356                                                          , "lsio_trigger_o unconditionally de-asserted (=1'b1), ignoring TX/RX watermark conditions"                                                                                                        , strong , strong   , strong , strong@F-0059            , no     , yes , no     , yes    , exact      , miss            ,              ,                   ,                    , strong@59/61  , "latest F-0059 exactly identifies lsio_trigger_o always driven to 1 after reset, bypassing TX/RX watermark trigger semantics."                                                                                                            , strong: hw/ip/uart/data/uart.hjson:134-137 and hw/ip/uart/doc/interfaces.md:21 define lsio_trigger as self-clearing DMA status trigger set when RX/TX FIFOs pass configured watermarks. A constant 1 directly violates this condition.                                                                                                                                                                                                                                                                                                         , F-0059 rank 59/61: exact lsio_trigger_o constant 1 and expected TX/RX watermark/DMA trigger behavior. Direct match.                                                                                                                                                                                                                                                                              , yes: uart.hjson_017 (lsio_trigger set when RX/TX FIFOs are past configured watermarks); theory_of_operation.md_008 (watermark interrupt level behavior).
UART        , N-004                             , uart_core.sv:123-132; uart_core.sv:401-402                                    , Break FSM re-arms on single rx_in high without half-bit-time stability check - violates rate/arming contract                                                                                     , weak   , weak     , strong , weak@F-0002@F-0008@F-0027, yes    , yes , no     , yes    , exact      , miss            ,              ,                   ,                    , weak@46/61    , "latest AGU/final findings target BRK_WAIT/rx_in exit timing and allzero/break invariants, but do not explicitly state the required half-bit stable-high rearm check."                                                                    , strong: hw/ip/uart/doc/theory_of_operation.md:185-200 defines break and explicitly says only one interrupt is generated per break and the line must return high for at least half a bit-time before another break interrupt. Single-cycle rx_in high rearm violates this exact requirement.                                                                                                                                                                                                                                                    , F-0046 rank 46/61 is closest: asks how long rx_in must stay high before exiting BRK_WAIT. It hits the same BRK_WAIT/rx_in code but frames it as undocumented and does not explicitly cite the half-bit requirement.                                                                                                                                                                              , yes: theory_of_operation.md_013 (break requires high for at least half bit-time before additional break); uart.hjson_015 (line break feature).
UART        , extra_timeout_val0_sticky         , uart_core.sv:367-389                                                          , rx_timeout becomes permanently asserted when TIMEOUT_CTRL.EN=1 and TIMEOUT_CTRL.VAL=0                                                                                                            , strong , strong   , weak   , strong@F-0040            , yes    , no  , no     , yes    , extra      , miss            ,              ,                   ,                    , strong@40/61  , latest semantic AGU query and final F-0040 exactly flag uart_rxto_val==0 with timeout enabled causing event_rx_timeout to be immediately/stickily true.                                                                                   , weak: hw/ip/uart/data/uart.hjson:460-471 defines TIMEOUT_CTRL.VAL/EN and hw/ip/uart/doc/theory_of_operation.md:257-263 defines rx_timeout as data waiting for a programmable number of bit times with reset on timeout. This is related but does not explicitly forbid VAL=0 or define non-sticky behavior for zero.                                                                                                                                                                                                                           , F-0040 rank 40/61: exact title/evidence says uart_rxto_val==0 and enable make rx_timeout_count_q==0 immediately true and event_rx_timeout stuck high. Direct match.                                                                                                                                                                                                                              , yes: uart.hjson_025 (TIMEOUT_CTRL VAL/EN); theory_of_operation.md_015 (rx_timeout behavior and counter reset).
DMA         , 007                               , dma.sv:1031-1036                                                              , Injected fault moves DMA FSM from DmaError to DmaIdle; block resumes post-error progress and issues new system read while error status remains asserted                                          ,        , weak     , strong , weak@F-0002@F-0017       , no     ,     , no     , no     , miss       ,                 ,              ,                   ,                    , no            , "A/G/U has only generic state/error coverage around DmaError, DmaIdle, ctrl_state_q and dma_state_error; current findings F-0002/F-0006 discuss error paths but do not capture post-error progress while STATUS.error remains asserted."  , "strong: hw/ip/dma/data/dma_testplan.hjson:120-134 explicitly injects a source/destination TL-UL error and requires STATUS.aborted, no further TL-UL transactions on either source or destination interface, and an alert. Returning from DmaError and issuing a new system read while error remains asserted directly violates this required error response."                                                                                                                                                                                 , No current phase3 input finding accurately states the DmaError->DmaIdle resume/new system-read while STATUS.error remains asserted; nearest findings are generic error-state/TLUL-error claims.                                                                                                                                                                                                  , yes: dma.hjson_017; dma.hjson_018; dma_testplan.hjson_005
DMA         , 032                               , dma.sv:694-742                                                                , Same-cycle interrupt-clear response leaves clear_index unadvanced preventing the second configured interrupt-clear write from being issued                                                       ,        , weak     , strong , weak@F-0008              , no     ,     , no     , no     , miss       ,                 ,              ,                   ,                    , weak@60/84    , "A/G/U mentions clear_index_q, clear_index_en/d, dma_host_clear_intr/dma_ctn_clear_intr and possible missing/double interrupt clear, but only as local uncertainty rather than the exact same-cycle response bug."                        , strong: hw/ip/dma/data/dma.hjson:741-746 requires DMA to issue an INTR_SRC_ADDR/INTR_SRC_WR_VAL write for each set CLEAR_INTR_SRC bit; :776-800 defines those configured address/value registers. Failing to advance clear_index after a same-cycle response drops the required write for a second set bit.                                                                                                                                                                                                                                    , "F-0060 rank 60/84 is closest: it discusses clear_index capture logic and missing/double interrupt clear risk, but it does not state the same-cycle TLUL response/clear_index unadvanced mechanism. F-0068/F-0069 are only generic clear-intr request concerns."                                                                                                                                 , yes: dma.hjson_019
DMA         , dma_F-0021                        , dma.sv:265-268                                                                , DMA control FSM uses dense binary encoding (plain prim_flop) instead of prim_sparse_fsm_flop; TODO comment acknowledges it; no FSM.SPARSE in dma.hjson; fault injection can flip state undetected,        , strong   , no     , no                       , no     ,     , yes    , no     , miss       ,                 ,              ,                   ,                    , strong@49/84  , A/G/U directly covers ctrl_state_logic/ctrl_state_q through the plain state register and downstream decode assumptions; current findings F-0044/F-0049/F-0079 focus on illegal or faulted ctrl_state encodings at the same state register., no: DMA raw specs contain no explicit DMA.FSM.SPARSE or prim_sparse_fsm_flop requirement; dma.hjson_010 only describes CFG_REGWEN/busy locking and does not mandate sparse FSM hardening.                                                                                                                                                                                                                                                                                                                                                      , "F-0049 rank 49/84 is the strongest current pair: it says ctrl_state_q has no defense against illegal state encodings loaded through ctrl_state_d. This is the same state-register fault-hardening area, though phase3 rejected it by relying on the default invalid-state alert and did not confirm the dense valid-to-valid flip bug."                                                         , no: raw refs do not contain a DMA FSM sparse-encoding countermeasure.
KMAC        , 017                               , kmac.sv:906-933                                                               , g_msg_mask uses constant static_mask={MsgWidth{1'b1}} instead of fresh entropy-derived msg_mask; defeats message SCA masking                                                                     ,        , strong   , strong , strong@F-0019            , no     ,     , yes    , yes    , exact      , yes             , strong       , strong            , no_change          , strong@19/159 , A/G/U directly covers g_msg_mask/static_mask/cfg_msg_mask and the side-channel masking risk.                                                                                                                                              , "strong: kmac/doc/theory_of_operation.md:212-214 says when EnMasking and CFG_SHADOWED.msg_mask are enabled, the message is masked using the internal entropy generator; kmac/data/kmac.hjson:559-565 describes CFG_SHADOWED.msg_mask as applying PRNG to input messages. The bug replaces that entropy/PRNG mask with all-ones static_mask, so this is a strong spec match."                                                                                                                                                                   , F-0019 rank 19/159 directly states static_mask is fixed all ones instead of dynamic entropy msg_mask. F-0101/F-0080/F-0086 are same exact top-level msg_mask/static_mask path.                                                                                                                                                                                                                   , yes: theory_of_operation.md_019; kmac.hjson_025
KMAC        , 021                               , kmac.sv:1466-1480 (shared prim_alert_sender)                                  , Shared prim alert ping-skew (same root cause as HMAC 019); beyond KMAC chunk scope                                                                                                               ,        , no       , weak   , weak@F-0020              , no     ,     , no     , no     , miss       , miss            ,              ,                   ,                    , no            , A/G/U only has generic prim_alert_sender/open alert_ack_o observations; no SkewCycles/AlertSkewCycles ping-skew constraint appears in KMAC-local findings.                                                                                , "weak: kmac/doc/interfaces.md:36 lists fatal_fault_err alert behavior and kmac/data/kmac.hjson:70-77 describes fatal errors that trigger the alert, so the alert channel is spec-relevant. These docs do not describe prim_alert_sender ping skew, SkewCycles, or shared primitive handshake tolerance."                                                                                                                                                                                                                                       , No current KMAC phase3 input finding matches the shared prim_alert_sender ping-skew bug. F-0131 is only generic unconnected alert_ack_o/alert_state_o and does not mention ping skew or SkewCycles.                                                                                                                                                                                              , yes: kmac.hjson_005
KMAC        , 036                               , kmac_core.sv:227-236                                                          , kmac_core suppresses sparse_fsm_error_o for 100 cycles after entering StTerminalError (st_err_ct<100 gate)                                                                                       ,        , strong   , weak   , strong@F-0044            , no     ,     , no     , no     , miss       , miss            , strong       , weak              , no_change          , strong@44/159 , "A/G/U directly captures StTerminalError/st_err_ct/sparse_fsm_error_o, including the 100-cycle low window in kmac_core.sv:227-236."                                                                                                       , "weak: kmac/doc/interfaces.md:47 and kmac/data/kmac.hjson:314-315 say KMAC FSMs are sparsely encoded; kmac/doc/interfaces.md:36 and kmac/data/kmac.hjson:70-77 say any internal FSM entering an invalid state is a fatal fault. This supports the bug area, but no official doc requires sparse_fsm_error_o to assert immediately in StTerminalError or forbids the 100-cycle st_err_ct gate."                                                                                                                                                 , "F-0044 rank 44/159 accurately states sparse_fsm_error_o is held low in StTerminalError until st_err_ct reaches 100. Phase3 refuted it by relying on default-state immediate pulse/top-level fatal latches, so CSBC_v3 remains no even though the finding pair is strong."                                                                                                                       , yes: kmac.hjson_005; kmac.hjson_010; kmac.hjson_011; kmac.hjson_027
