IP          , ID                                , Location                                                                      , Description                                                                                                                                                                                      , In_AGU                                                        , In_AGU_v2, In_Spec, In_ref , CSBC, CSBC_v2, Codex_agent, codex with chunk, structure_AGU, structure_AGU_pair, structure_vs_legacy, In_pair_v2
DMA         , 032                               , dma.sv:694-742                                                                , Same-cycle interrupt-clear response leaves clear_index unadvanced preventing the second configured interrupt-clear write from being issued                                                       ,                                                               , weak     , weak   , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
DMA         , dma_F-0021                        , dma.sv:265-268                                                                , DMA control FSM uses dense binary encoding (plain prim_flop) instead of prim_sparse_fsm_flop; TODO comment acknowledges it; no FSM.SPARSE in dma.hjson; fault injection can flip state undetected,                                                               , strong   , no     , no     ,     , yes    ,            ,                 ,              ,                   ,                    , strong
KMAC        , 017                               , kmac.sv:906-933                                                               , g_msg_mask uses constant static_mask={MsgWidth{1'b1}} instead of fresh entropy-derived msg_mask; defeats message SCA masking                                                                     ,                                                               , strong   , strong , no     ,     , yes    ,            ,                 ,              ,                   ,                    , weak
KMAC        , 021                               , kmac.sv:1466-1480 (shared prim_alert_sender)                                  , Shared prim alert ping-skew (same root cause as HMAC 019); beyond KMAC chunk scope                                                                                                               ,                                                               , no       , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , no
KMAC        , 036                               , kmac_core.sv:227-236                                                          , kmac_core suppresses sparse_fsm_error_o for 100 cycles after entering StTerminalError (st_err_ct<100 gate)                                                                                       ,                                                               , strong   , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
KMAC        , kmac_N-005                        , kmac_reduced.sv:123-139                                                       , u_msg_unpacker_share1 unconditionally instantiated; accesses msg_i[1] out of bounds when EnMasking=0 (NumShares=1). Latent config hazard                                                         ,                                                               , strong   , weak   , yes    ,     , no     ,            ,                 ,              ,                   ,                    , strong
KMAC        , kmac_F-0039                       , kmac.sv:906-933                                                               , Phase3 new discovery: g_msg_mask static_mask hardwired all-ones replaces entropy msg_mask; defeats SCA message-masking countermeasure                                                            ,                                                               , strong   , strong , no     ,     , yes    ,            ,                 ,              ,                   ,                    , weak
RV_DM       , 022                               , rv_dm.sv:160-173                                                              , prim_alert_sender instantiated without SkewCycles(AlertSkewCycles) parameter present in reference; reduces glitch/skew tolerance on RV_DM alert channel                                          ,                                                               , weak     , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
RV_DM       , 034                               , rv_dm_dmi_gate.sv:244-245                                                     , dmi_rsp_valid = dmi_rsp_valid_i & dmi_en drops reference tlul_resp_pending OR term; last pending DMI response suppressed when dmi_en falls during completion pulse                               ,                                                               , no       , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , no
RV_DM       , 046                               , rv_dm_dmi_gate.sv:165-178                                                     , lc_hw_debug_clr SEC_CM removed from hw_debug_en_gating; strap latch only clears on byp/escalate; stale RV debug authorization persists after lc debug permission returns to Off                  ,                                                               , weak     , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
RV_DM       , 047                               , rv_dm.sv:286-351                                                              , NDM-reset debug latch removed; reset_req_en taken from live lc_hw_debug_en_gated; revoking live debug authorization after NDM reset starts removes only ack path                                 ,                                                               , weak     , weak   , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
SOC_DBG_CTRL, 024                               , soc_dbg_ctrl.sv:66-79                                                         , Alert skew candidate: prim_alert_sender/prim_diff_decode ping-skew suppresses local sender handshake (shared-primitive skew-handling bug)                                                        ,                                                               , weak     , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
SOC_DBG_CTRL, 045                               , soc_dbg_ctrl.sv:202-206                                                       , Legal shadowed CSR write publishes unlocked production debug policy; SocDbgStProd branch drives category/valid/relocked from CSRs without lc_rma_state_i/lc_cpu_en_i lifecycle gating            ,                                                               , weak     , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
TLUL        , 028                               , tlul_fifo_sync.sv:57-91                                                       , Merged TL-UL request-word fault corrupts live UART CTRL access while keeping request valid enough to be consumed by downstream CSR path                                                          ,                                                               , weak     , no     , no     ,     , no     ,            ,                 ,              ,                   ,                    , weak
TLUL        , 029                               , tlul_adapter_reg.sv:155-205                                                   , AccessLatency=1 adapter mutates buffered TL-UL read payload to all-ones after response phase while keeping d_error clear; downstream consumer accepts corrupted payload                          ,                                                               , strong   , no     , no     ,     , yes    ,            ,                 ,              ,                   ,                    , strong
